ss,eff_size,icc,p.exercise,p.exercise_protein
240,0.1,0.8,0.06,0.09
240,0.1,0.9,0.07,0.09
240,0.2,0.1,0.12,0.18
240,0.2,0.2,0.16,0.2
240,0.2,0.3,0.12,0.14
240,0.2,0.4,0.13,0.17
240,0.2,0.5,0.2,0.23
240,0.2,0.6,0.13,0.22
240,0.2,0.7,0.12,0.21
240,0.2,0.8,0.15,0.18
240,0.2,0.9,0.19,0.21
240,0.3,0.1,0.28,0.32
240,0.3,0.2,0.2,0.31
240,0.3,0.3,0.19,0.27
240,0.3,0.4,0.21,0.37
240,0.3,0.5,0.3,0.4
240,0.3,0.6,0.29,0.46
240,0.3,0.7,0.25,0.33
240,0.3,0.8,0.25,0.37
240,0.3,0.9,0.27,0.31
240,0.4,0.1,0.35,0.53
240,0.4,0.2,0.43,0.53
240,0.4,0.3,0.43,0.53
240,0.4,0.4,0.35,0.49
240,0.4,0.5,0.45,0.54
240,0.4,0.6,0.48,0.6
240,0.4,0.7,0.42,0.54
240,0.4,0.8,0.47,0.6
240,0.4,0.9,0.43,0.6
240,0.5,0.1,0.57,0.72
240,0.5,0.2,0.62,0.75
240,0.5,0.3,0.59,0.71
240,0.5,0.4,0.68,0.67
240,0.5,0.5,0.7,0.74
240,0.5,0.6,0.66,0.76
240,0.5,0.7,0.57,0.71
240,0.5,0.8,0.63,0.71
240,0.5,0.9,0.62,0.72
240,0.6,0.1,0.71,0.87
240,0.6,0.2,0.82,0.86
240,0.6,0.3,0.77,0.86
240,0.6,0.4,0.73,0.79
240,0.6,0.5,0.78,0.78
240,0.6,0.6,0.78,0.83
240,0.6,0.7,0.66,0.75
240,0.6,0.8,0.7,0.87
240,0.6,0.9,0.72,0.84
240,0.7,0.1,0.89,0.93
240,0.7,0.2,0.87,0.9
240,0.7,0.3,0.9,0.92
240,0.7,0.4,0.85,0.93
240,0.7,0.5,0.92,0.93
240,0.7,0.6,0.85,0.97
240,0.7,0.7,0.92,0.92
240,0.7,0.8,0.85,0.89
240,0.7,0.9,0.89,0.94
240,0.8,0.1,0.96,0.99
240,0.8,0.2,0.93,0.99
240,0.8,0.3,0.93,0.96
240,0.8,0.4,0.94,0.98
240,0.8,0.5,0.92,0.99
240,0.8,0.6,0.97,0.92
240,0.8,0.7,0.97,0.98
240,0.8,0.8,0.98,0.93
240,0.8,0.9,0.97,0.97
240,0.9,0.1,0.96,0.98
240,0.9,0.2,0.99,0.97
240,0.9,0.3,0.97,1
240,0.9,0.4,0.98,1
240,0.9,0.5,0.97,0.97
240,0.9,0.6,0.98,0.99
240,0.9,0.7,0.99,0.97
240,0.9,0.8,0.98,0.99
240,0.9,0.9,0.99,0.97
270,0.1,0.1,0.1,0.11
270,0.1,0.2,0.05,0.1
270,0.1,0.3,0.04,0.07
270,0.1,0.4,0.06,0.11
270,0.1,0.5,0.06,0.15
270,0.1,0.6,0.08,0.11
270,0.1,0.7,0.06,0.09
270,0.1,0.8,0.07,0.08
270,0.1,0.9,0.07,0.15
270,0.2,0.1,0.12,0.18
270,0.2,0.2,0.09,0.21
270,0.2,0.3,0.16,0.19
270,0.2,0.4,0.2,0.27
270,0.2,0.5,0.14,0.19
270,0.2,0.6,0.2,0.25
270,0.2,0.7,0.15,0.22
270,0.2,0.8,0.16,0.17
270,0.2,0.9,0.17,0.2
270,0.3,0.1,0.32,0.37
270,0.3,0.2,0.31,0.49
270,0.3,0.3,0.28,0.38
270,0.3,0.4,0.28,0.4
270,0.3,0.5,0.28,0.5
270,0.3,0.6,0.31,0.43
270,0.3,0.7,0.26,0.41
270,0.3,0.8,0.32,0.41
270,0.3,0.9,0.32,0.45
270,0.4,0.1,0.52,0.66
270,0.4,0.2,0.46,0.58
270,0.4,0.3,0.48,0.5
270,0.4,0.4,0.45,0.5
270,0.4,0.5,0.52,0.66
270,0.4,0.6,0.56,0.55
270,0.4,0.7,0.42,0.7
270,0.4,0.8,0.52,0.54
270,0.4,0.9,0.49,0.6
270,0.5,0.1,0.65,0.74
270,0.5,0.2,0.62,0.75
270,0.5,0.3,0.6,0.71
270,0.5,0.4,0.64,0.87
270,0.5,0.5,0.64,0.76
270,0.5,0.6,0.7,0.74
270,0.5,0.7,0.59,0.72
270,0.5,0.8,0.62,0.73
270,0.5,0.9,0.68,0.73
270,0.6,0.1,0.83,0.9
270,0.6,0.2,0.84,0.83
270,0.6,0.3,0.87,0.89
270,0.6,0.4,0.88,0.89
270,0.6,0.5,0.77,0.87
270,0.6,0.6,0.77,0.89
270,0.6,0.7,0.8,0.84
270,0.6,0.8,0.81,0.86
270,0.6,0.9,0.77,0.87
270,0.7,0.1,0.93,0.91
270,0.7,0.2,0.91,0.96
270,0.7,0.3,0.92,0.94
270,0.7,0.4,0.94,0.98
270,0.7,0.5,0.88,0.92
270,0.7,0.6,0.94,0.95
270,0.7,0.7,0.95,0.95
270,0.7,0.8,0.88,0.89
270,0.7,0.9,0.9,0.93
270,0.8,0.1,0.98,0.98
270,0.8,0.2,1,0.99
270,0.8,0.3,0.98,1
270,0.8,0.4,0.98,0.97
270,0.8,0.5,0.98,0.97
270,0.8,0.6,0.95,1
270,0.8,0.7,0.97,0.96
270,0.8,0.8,0.96,0.99
270,0.8,0.9,0.99,0.98
270,0.9,0.1,0.99,1
270,0.9,0.2,1,0.99
270,0.9,0.3,1,1
270,0.9,0.4,0.98,0.99
270,0.9,0.5,0.98,1
270,0.9,0.6,0.99,0.99
270,0.9,0.7,0.99,1
270,0.9,0.8,0.98,0.99
270,0.9,0.9,0.96,0.98
300,0.1,0.1,0.1,0.17
300,0.1,0.2,0.04,0.13
300,0.1,0.3,0.14,0.14
300,0.1,0.4,0.1,0.13
300,0.1,0.5,0.1,0.11
300,0.1,0.6,0.1,0.11
300,0.1,0.7,0.11,0.18
300,0.1,0.8,0.06,0.14
300,0.1,0.9,0.03,0.1
300,0.2,0.1,0.18,0.29
300,0.2,0.2,0.19,0.29
300,0.2,0.3,0.14,0.18
300,0.2,0.4,0.22,0.18
300,0.2,0.5,0.19,0.21
300,0.2,0.6,0.15,0.13
300,0.2,0.7,0.19,0.21
300,0.2,0.8,0.14,0.2
300,0.2,0.9,0.12,0.18
300,0.3,0.1,0.3,0.47
300,0.3,0.2,0.41,0.47
300,0.3,0.3,0.4,0.46
300,0.3,0.4,0.4,0.34
300,0.3,0.5,0.33,0.38
300,0.3,0.6,0.32,0.43
300,0.3,0.7,0.25,0.4
300,0.3,0.8,0.31,0.49
300,0.3,0.9,0.25,0.4
300,0.4,0.1,0.52,0.6
300,0.4,0.2,0.6,0.63
300,0.4,0.3,0.6,0.71
300,0.4,0.4,0.59,0.67
300,0.4,0.5,0.39,0.63
300,0.4,0.6,0.6,0.66
300,0.4,0.7,0.53,0.59
300,0.4,0.8,0.6,0.6
300,0.4,0.9,0.45,0.65
300,0.5,0.1,0.71,0.77
300,0.5,0.2,0.65,0.71
300,0.5,0.3,0.66,0.72
300,0.5,0.4,0.76,0.84
300,0.5,0.5,0.68,0.78
300,0.5,0.6,0.67,0.78
300,0.5,0.7,0.66,0.7
300,0.5,0.8,0.7,0.68
300,0.5,0.9,0.61,0.74
300,0.6,0.1,0.84,0.93
300,0.6,0.2,0.88,0.9
300,0.6,0.3,0.79,0.88
300,0.6,0.4,0.87,0.91
300,0.6,0.5,0.82,0.86
300,0.6,0.6,0.79,0.87
300,0.6,0.7,0.79,0.88
300,0.6,0.8,0.88,0.92
300,0.6,0.9,0.89,0.91
300,0.7,0.1,0.91,0.95
300,0.7,0.2,0.94,0.97
300,0.7,0.3,0.96,0.97
300,0.7,0.4,0.96,0.93
300,0.7,0.5,0.89,0.94
300,0.7,0.6,0.94,0.94
300,0.7,0.7,0.93,0.98
300,0.7,0.8,0.92,0.98
300,0.7,0.9,0.93,0.96
300,0.8,0.1,0.99,0.99
300,0.8,0.2,0.97,1
300,0.8,0.3,0.96,0.99
300,0.8,0.4,0.96,0.99
300,0.8,0.5,0.96,1
300,0.8,0.6,0.97,1
300,0.8,0.7,0.99,0.99
300,0.8,0.8,0.99,1
300,0.8,0.9,0.99,0.99
300,0.9,0.1,0.99,1
300,0.9,0.2,1,1
300,0.9,0.3,0.99,1
300,0.9,0.4,1,1
300,0.9,0.5,0.99,1
300,0.9,0.6,0.99,1
300,0.9,0.7,1,0.99
300,0.9,0.8,0.99,1
300,0.9,0.9,0.99,1
